"Time","values"
2023-12-20 08:08:45,0%
2023-12-20 08:09:00,0%
2023-12-20 08:09:15,0%
2023-12-20 08:09:30,0%
2023-12-20 08:09:45,0%
2023-12-20 08:10:00,0%
2023-12-20 08:10:15,0%
2023-12-20 08:10:30,0%
2023-12-20 08:10:45,0%
2023-12-20 08:11:00,0%
2023-12-20 08:11:15,0%
2023-12-20 08:11:30,0%
2023-12-20 08:11:45,0%
2023-12-20 08:12:00,0%
2023-12-20 08:12:15,0%
2023-12-20 08:12:30,0%
2023-12-20 08:12:45,0%
2023-12-20 08:13:00,0%
2023-12-20 08:13:15,0%
2023-12-20 08:13:30,0%
2023-12-20 08:13:45,0%
2023-12-20 08:14:00,0%
2023-12-20 08:14:15,0%
2023-12-20 08:14:30,0%
2023-12-20 08:14:45,0%
2023-12-20 08:15:00,0%
2023-12-20 08:15:15,0%
2023-12-20 08:15:30,0%
2023-12-20 08:15:45,0%
2023-12-20 08:16:00,0%
2023-12-20 08:16:15,0%
2023-12-20 08:16:30,0%
2023-12-20 08:16:45,0%
2023-12-20 08:17:00,0%
2023-12-20 08:17:15,0%
2023-12-20 08:17:30,0%
2023-12-20 08:17:45,0%
2023-12-20 08:18:00,0.100%
2023-12-20 08:18:15,0%
2023-12-20 08:18:30,0%
2023-12-20 08:18:45,0%
2023-12-20 08:19:00,0%
2023-12-20 08:19:15,0%
2023-12-20 08:19:30,0%
2023-12-20 08:19:45,0%
2023-12-20 08:20:00,0%
2023-12-20 08:20:15,0%
2023-12-20 08:20:30,0%
2023-12-20 08:20:45,0%
2023-12-20 08:21:00,0%
2023-12-20 08:21:15,0%
2023-12-20 08:21:30,0%
2023-12-20 08:21:45,0%
2023-12-20 08:22:00,0%
2023-12-20 08:22:15,0%
2023-12-20 08:22:30,0%
2023-12-20 08:22:45,0%
2023-12-20 08:23:00,0%
2023-12-20 08:23:15,0%
2023-12-20 08:23:30,0%
2023-12-20 08:23:45,0%
2023-12-20 08:24:00,0%
2023-12-20 08:24:15,0%
2023-12-20 08:24:30,0%
2023-12-20 08:24:45,0%
2023-12-20 08:25:00,0%
2023-12-20 08:25:15,0.100%
2023-12-20 08:25:30,0.100%
2023-12-20 08:25:45,0%
2023-12-20 08:26:00,0%
2023-12-20 08:26:15,0%
2023-12-20 08:26:30,0%
2023-12-20 08:26:45,0%
2023-12-20 08:27:00,0%
2023-12-20 08:27:15,0%
2023-12-20 08:27:30,0%
2023-12-20 08:27:45,0%
2023-12-20 08:28:00,0.200%
2023-12-20 08:28:15,0%
2023-12-20 08:28:30,0%
2023-12-20 08:28:45,0%
2023-12-20 08:29:00,0%
2023-12-20 08:29:15,0%
2023-12-20 08:29:30,0%
2023-12-20 08:29:45,0%
2023-12-20 08:30:00,0%
2023-12-20 08:30:15,0%
2023-12-20 08:30:30,0%
2023-12-20 08:30:45,0%
