"Time","values"
2023-12-20 08:50:00,80.36 ms
2023-12-20 08:50:30,76.28 ms
2023-12-20 08:51:00,70.57 ms
2023-12-20 08:51:30,78.49 ms
2023-12-20 08:52:00,66.88 ms
2023-12-20 08:52:30,77.71 ms
2023-12-20 08:53:00,74.57 ms
2023-12-20 08:53:30,63.11 ms
2023-12-20 08:54:00,71.38 ms
2023-12-20 08:54:30,67.32 ms
2023-12-20 08:55:00,60.56 ms
2023-12-20 08:55:30,60.15 ms
2023-12-20 08:56:00,72.43 ms
2023-12-20 08:56:30,52.19 ms
2023-12-20 08:57:00,56.73 ms
2023-12-20 08:57:30,62.27 ms
2023-12-20 08:58:00,42.61 ms
2023-12-20 08:58:30,45.72 ms
2023-12-20 08:59:00,38.07 ms
2023-12-20 08:59:30,44.97 ms
2023-12-20 09:00:00,42.41 ms
2023-12-20 09:00:30,44.10 ms
2023-12-20 09:01:00,43.54 ms
2023-12-20 09:01:30,35.40 ms
2023-12-20 09:02:00,42.89 ms
2023-12-20 09:02:30,49.24 ms
2023-12-20 09:03:00,48.20 ms
2023-12-20 09:03:30,51.80 ms
2023-12-20 09:04:00,45.65 ms
2023-12-20 09:04:30,43.56 ms
2023-12-20 09:05:00,36.74 ms
2023-12-20 09:05:30,44.52 ms
2023-12-20 09:06:00,46.49 ms
2023-12-20 09:06:30,34.72 ms
2023-12-20 09:07:00,42.05 ms
2023-12-20 09:07:30,38.86 ms
2023-12-20 09:08:00,40.58 ms
2023-12-20 09:08:30,50.44 ms
2023-12-20 09:09:00,42.59 ms
2023-12-20 09:09:30,50.51 ms
2023-12-20 09:10:00,47.05 ms
2023-12-20 09:10:30,51.28 ms
2023-12-20 09:11:00,51.51 ms
2023-12-20 09:11:30,47.62 ms
2023-12-20 09:12:00,47.91 ms
2023-12-20 09:12:30,45.61 ms
2023-12-20 09:13:00,48.27 ms
2023-12-20 09:13:30,46.49 ms
2023-12-20 09:14:00,48.36 ms
2023-12-20 09:14:30,50.03 ms
2023-12-20 09:15:00,51.27 ms
2023-12-20 09:15:30,45.74 ms
2023-12-20 09:16:00,53.20 ms
2023-12-20 09:16:30,57.00 ms
