"Time","values"
2023-12-20 09:35:30,52.04 ms
2023-12-20 09:36:00,35.87 ms
2023-12-20 09:36:30,41.28 ms
2023-12-20 09:37:00,40.91 ms
2023-12-20 09:37:30,56.66 ms
2023-12-20 09:38:00,56.68 ms
2023-12-20 09:38:30,45.00 ms
2023-12-20 09:39:00,21.83 ms
2023-12-20 09:39:30,40.92 ms
2023-12-20 09:40:00,46.74 ms
2023-12-20 09:40:30,42.88 ms
2023-12-20 09:41:00,45.29 ms
2023-12-20 09:41:30,26.00 ms
2023-12-20 09:42:00,27.03 ms
2023-12-20 09:42:30,52.16 ms
2023-12-20 09:43:00,33.44 ms
2023-12-20 09:43:30,35.90 ms
2023-12-20 09:44:00,40.11 ms
2023-12-20 09:44:30,35.84 ms
2023-12-20 09:45:00,44.61 ms
2023-12-20 09:45:30,22.74 ms
2023-12-20 09:46:00,43.94 ms
2023-12-20 09:46:30,30.67 ms
2023-12-20 09:47:00,27.19 ms
2023-12-20 09:47:30,22.08 ms
2023-12-20 09:48:00,18.16 ms
2023-12-20 09:48:30,10.30 ms
2023-12-20 09:49:00,23.90 ms
2023-12-20 09:49:30,29.80 ms
2023-12-20 09:50:00,18.93 ms
2023-12-20 09:50:30,28.71 ms
2023-12-20 09:51:00,26.28 ms
2023-12-20 09:51:30,18.33 ms
2023-12-20 09:52:00,30.17 ms
2023-12-20 09:52:30,20.42 ms
2023-12-20 09:53:00,16.61 ms
2023-12-20 09:53:30,17.80 ms
2023-12-20 09:54:00,25.63 ms
2023-12-20 09:54:30,17.26 ms
2023-12-20 09:55:00,16.94 ms
2023-12-20 09:55:30,6.14 ms
2023-12-20 09:56:00,20.44 ms
2023-12-20 09:56:30,16.13 ms
2023-12-20 09:57:00,17.37 ms
2023-12-20 09:57:30,22.34 ms
2023-12-20 09:58:00,16.74 ms
2023-12-20 09:58:30,16.18 ms
2023-12-20 09:59:00,13.68 ms
2023-12-20 09:59:30,15.62 ms
2023-12-20 10:00:00,11.67 ms
2023-12-20 10:00:30,13.02 ms
2023-12-20 10:01:00,14.50 ms
2023-12-20 10:01:30,10.29 ms
2023-12-20 10:02:00,13.06 ms
2023-12-20 10:02:30,11.80 ms
2023-12-20 10:03:00,15.30 ms
2023-12-20 10:03:30,17.53 ms
2023-12-20 10:04:00,13.95 ms
2023-12-20 10:04:30,14.29 ms
2023-12-20 10:05:00,12.03 ms
2023-12-20 10:05:30,14.45 ms
2023-12-20 10:06:00,7.59 ms
2023-12-20 10:06:30,17.40 ms
2023-12-20 10:07:00,13.95 ms
2023-12-20 10:07:30,12.08 ms
2023-12-20 10:08:00,13.65 ms
2023-12-20 10:08:30,18.87 ms
2023-12-20 10:09:00,19.25 ms
2023-12-20 10:09:30,15.73 ms
2023-12-20 10:10:00,16.23 ms
2023-12-20 10:10:30,9.53 ms
2023-12-20 10:11:00,11.42 ms
2023-12-20 10:11:30,14.99 ms
2023-12-20 10:12:00,20.59 ms
2023-12-20 10:12:30,16.43 ms
2023-12-20 10:13:00,8.08 ms
2023-12-20 10:13:30,14.22 ms
2023-12-20 10:14:00,10.86 ms
2023-12-20 10:14:30,12.83 ms
2023-12-20 10:15:00,13.27 ms
2023-12-20 10:15:30,14.37 ms
2023-12-20 10:16:00,12.87 ms
2023-12-20 10:16:30,11.44 ms
2023-12-20 10:17:00,12.58 ms
2023-12-20 10:17:30,12.79 ms
2023-12-20 10:18:00,13.84 ms
2023-12-20 10:18:30,18.94 ms
2023-12-20 10:19:00,13.88 ms
2023-12-20 10:19:30,17.96 ms
2023-12-20 10:20:00,12.62 ms
2023-12-20 10:20:30,17.95 ms
2023-12-20 10:21:00,18.14 ms
2023-12-20 10:21:30,16.04 ms
2023-12-20 10:22:00,13.33 ms
2023-12-20 10:22:30,17.92 ms
2023-12-20 10:23:00,30.25 ms
2023-12-20 10:23:30,21.59 ms
2023-12-20 10:24:00,19.60 ms
2023-12-20 10:24:30,35.91 ms
2023-12-20 10:25:00,24.96 ms
2023-12-20 10:25:30,15.87 ms
2023-12-20 10:26:00,27.64 ms
2023-12-20 10:26:30,24.72 ms
2023-12-20 10:27:00,29.06 ms
2023-12-20 10:27:30,35.63 ms
2023-12-20 10:28:00,35.19 ms
2023-12-20 10:28:30,61.22 ms
2023-12-20 10:29:00,48.47 ms
2023-12-20 10:29:30,64.24 ms
2023-12-20 10:30:00,50.13 ms
2023-12-20 10:30:30,39.50 ms
2023-12-20 10:31:00,50.49 ms
2023-12-20 10:31:30,37.20 ms
2023-12-20 10:32:00,55.77 ms
2023-12-20 10:32:30,35.36 ms
2023-12-20 10:33:00,29.74 ms
2023-12-20 10:33:30,27.32 ms
2023-12-20 10:34:00,36.33 ms
2023-12-20 10:34:30,50.46 ms
2023-12-20 10:35:00,65.87 ms
2023-12-20 10:35:30,51.80 ms
2023-12-20 10:36:00,49.05 ms
2023-12-20 10:36:30,46.61 ms
2023-12-20 10:37:00,46.33 ms
2023-12-20 10:37:30,52.01 ms
2023-12-20 10:38:00,49.86 ms
2023-12-20 10:38:30,45.96 ms
2023-12-20 10:39:00,38.55 ms
2023-12-20 10:39:30,70.44 ms
2023-12-20 10:40:00,26.07 ms
2023-12-20 10:40:30,55.44 ms
2023-12-20 10:41:00,32.10 ms
2023-12-20 10:41:30,45.22 ms
2023-12-20 10:42:00,58.62 ms
2023-12-20 10:42:30,33.70 ms
2023-12-20 10:43:00,45.97 ms
2023-12-20 10:43:30,30.61 ms
2023-12-20 10:44:00,40.81 ms
2023-12-20 10:44:30,32.13 ms
2023-12-20 10:45:00,38.40 ms
2023-12-20 10:45:30,36.11 ms
2023-12-20 10:46:00,41.60 ms
2023-12-20 10:46:30,26.60 ms
2023-12-20 10:47:00,17.53 ms
2023-12-20 10:47:30,27.59 ms
2023-12-20 10:48:00,24.33 ms
2023-12-20 10:48:30,20.56 ms
2023-12-20 10:49:00,22.50 ms
2023-12-20 10:49:30,21.68 ms
2023-12-20 10:50:00,32.70 ms
2023-12-20 10:50:30,22.91 ms
2023-12-20 10:51:00,24.44 ms
2023-12-20 10:51:30,26.18 ms
2023-12-20 10:52:00,26.06 ms
2023-12-20 10:52:30,19.92 ms
2023-12-20 10:53:00,22.17 ms
2023-12-20 10:53:30,27.88 ms
2023-12-20 10:54:00,16.34 ms
2023-12-20 10:54:30,25.13 ms
2023-12-20 10:55:00,20.10 ms
2023-12-20 10:55:30,16.83 ms
2023-12-20 10:56:00,20.50 ms
2023-12-20 10:56:30,13.39 ms
2023-12-20 10:57:00,14.77 ms
2023-12-20 10:57:30,26.82 ms
2023-12-20 10:58:00,18.76 ms
2023-12-20 10:58:30,13.52 ms
2023-12-20 10:59:00,20.58 ms
2023-12-20 10:59:30,18.77 ms
2023-12-20 11:00:00,10.00 ms
2023-12-20 11:00:30,23.89 ms
2023-12-20 11:01:00,10.63 ms
2023-12-20 11:01:30,15.58 ms
2023-12-20 11:02:00,8.59 ms
2023-12-20 11:02:30,7.66 ms
2023-12-20 11:03:00,14.67 ms
2023-12-20 11:03:30,14.25 ms
2023-12-20 11:04:00,16.53 ms
2023-12-20 11:04:30,13.85 ms
2023-12-20 11:05:00,14.44 ms
2023-12-20 11:05:30,12.55 ms
2023-12-20 11:06:00,12.40 ms
2023-12-20 11:06:30,14.78 ms
2023-12-20 11:07:00,12.19 ms
2023-12-20 11:07:30,14.59 ms
2023-12-20 11:08:00,10.74 ms
2023-12-20 11:08:30,11.70 ms
2023-12-20 11:09:00,9.40 ms
2023-12-20 11:09:30,16.95 ms
2023-12-20 11:10:00,15.47 ms
2023-12-20 11:10:30,11.63 ms
2023-12-20 11:11:00,10.09 ms
2023-12-20 11:11:30,18.30 ms
2023-12-20 11:12:00,16.25 ms
2023-12-20 11:12:30,13.28 ms
2023-12-20 11:13:00,13.74 ms
2023-12-20 11:13:30,11.79 ms
2023-12-20 11:14:00,9.98 ms
2023-12-20 11:14:30,9.27 ms
2023-12-20 11:15:00,16.81 ms
2023-12-20 11:15:30,11.59 ms
2023-12-20 11:16:00,16.52 ms
2023-12-20 11:16:30,15.76 ms
2023-12-20 11:17:00,8.45 ms
2023-12-20 11:17:30,7.48 ms
2023-12-20 11:18:00,13.85 ms
2023-12-20 11:18:30,10.67 ms
2023-12-20 11:19:00,14.78 ms
2023-12-20 11:19:30,12.88 ms
2023-12-20 11:20:00,11.82 ms
2023-12-20 11:20:30,22.03 ms
2023-12-20 11:21:00,14.50 ms
2023-12-20 11:21:30,24.33 ms
2023-12-20 11:22:00,22.44 ms
2023-12-20 11:22:30,19.56 ms
2023-12-20 11:23:00,12.43 ms
2023-12-20 11:23:30,29.17 ms
2023-12-20 11:24:00,23.10 ms
2023-12-20 11:24:30,24.56 ms
2023-12-20 11:25:00,32.04 ms
2023-12-20 11:25:30,17.86 ms
2023-12-20 11:26:00,26.12 ms
2023-12-20 11:26:30,40.93 ms
2023-12-20 11:27:00,44.53 ms
2023-12-20 11:27:30,35.17 ms
2023-12-20 11:28:00,42.62 ms
2023-12-20 11:28:30,43.36 ms
2023-12-20 11:29:00,51.27 ms
2023-12-20 11:29:30,45.10 ms
2023-12-20 11:30:00,32.94 ms
2023-12-20 11:30:30,40.31 ms
2023-12-20 11:31:00,18.89 ms
2023-12-20 11:31:30,40.77 ms
2023-12-20 11:32:00,43.97 ms
2023-12-20 11:32:30,43.99 ms
2023-12-20 11:33:00,28.30 ms
2023-12-20 11:33:30,32.52 ms
2023-12-20 11:34:00,34.12 ms
2023-12-20 11:34:30,26.67 ms
2023-12-20 11:35:00,57.44 ms
2023-12-20 11:35:30,39.09 ms
2023-12-20 11:36:00,41.76 ms
2023-12-20 11:36:30,45.05 ms
2023-12-20 11:37:00,21.61 ms
2023-12-20 11:37:30,79.98 ms
2023-12-20 11:38:00,47.77 ms
2023-12-20 11:38:30,41.27 ms
2023-12-20 11:39:00,51.12 ms
2023-12-20 11:39:30,32.39 ms
2023-12-20 11:40:00,25.96 ms
2023-12-20 11:40:30,45.35 ms
2023-12-20 11:41:00,49.81 ms
2023-12-20 11:41:30,47.16 ms
2023-12-20 11:42:00,38.11 ms
2023-12-20 11:42:30,17.14 ms
2023-12-20 11:43:00,26.90 ms
2023-12-20 11:43:30,39.74 ms
2023-12-20 11:44:00,37.93 ms
2023-12-20 11:44:30,37.75 ms
2023-12-20 11:45:00,35.01 ms
2023-12-20 11:45:30,44.94 ms
2023-12-20 11:46:00,50.76 ms
2023-12-20 11:46:30,41.20 ms
2023-12-20 11:47:00,27.61 ms
2023-12-20 11:47:30,36.23 ms
2023-12-20 11:48:00,17.00 ms
2023-12-20 11:48:30,23.98 ms
2023-12-20 11:49:00,25.04 ms
2023-12-20 11:49:30,18.49 ms
2023-12-20 11:50:00,9.63 ms
2023-12-20 11:50:30,16.72 ms
2023-12-20 11:51:00,27.90 ms
2023-12-20 11:51:30,17.75 ms
2023-12-20 11:52:00,24.08 ms
2023-12-20 11:52:30,20.57 ms
