index,delay,jitter,loss,ssim
2143,140ms,50ms,2.0%,0.902
2144,140ms,50ms,2.5%,0.945
2145,140ms,50ms,3.0%,0.872
2146,140ms,60ms,0.0%,0.937
2147,140ms,60ms,0.5%,0.892
2148,140ms,60ms,1.0%,0.863
2149,140ms,60ms,1.5%,0.932
2150,140ms,60ms,2.0%,0.935
2151,140ms,60ms,2.5%,0.936
2152,140ms,60ms,3.0%,0.935
2153,140ms,70ms,0.0%,0.909
2154,140ms,70ms,0.5%,0.936
2155,140ms,70ms,1.0%,0.863
2156,140ms,70ms,1.5%,0.931
2157,140ms,70ms,2.0%,0.87
2158,140ms,70ms,2.5%,0.798
2159,140ms,70ms,3.0%,0.739
2160,140ms,80ms,0.0%,0.944
2161,140ms,80ms,0.5%,0.862
2162,140ms,80ms,1.0%,0.848
2163,140ms,80ms,1.5%,0.888
2164,140ms,80ms,2.0%,0.801
2165,140ms,80ms,2.5%,0.705
2166,140ms,80ms,3.0%,0.731
2167,140ms,90ms,0.0%,0.737
2168,140ms,90ms,0.5%,0.94
2169,140ms,90ms,1.0%,0.781
2170,140ms,90ms,1.5%,0.788
2171,140ms,90ms,2.0%,0.736
2172,140ms,90ms,2.5%,0.714
2173,140ms,90ms,3.0%,0.71
2174,140ms,100ms,0.0%,0.865
2175,140ms,100ms,0.5%,0.754
2176,140ms,100ms,1.0%,0.851
2177,140ms,100ms,1.5%,0.923
2178,140ms,100ms,2.0%,0.692
2179,140ms,100ms,2.5%,0.704
2180,140ms,100ms,3.0%,0.863
2181,140ms,110ms,0.0%,0.924
2182,140ms,110ms,0.5%,0.807
2183,140ms,110ms,1.0%,0.817
2184,140ms,110ms,1.5%,0.836
2185,140ms,110ms,2.0%,0.691
2186,140ms,110ms,2.5%,0.729
2187,140ms,110ms,3.0%,0.702
2188,140ms,120ms,0.0%,0.669
2189,140ms,120ms,0.5%,0.862
2190,140ms,120ms,1.0%,0.683
2191,140ms,120ms,1.5%,0.738
2192,140ms,120ms,2.0%,0.775
2193,140ms,120ms,2.5%,0.732
2194,140ms,120ms,3.0%,0.854
2195,140ms,130ms,0.0%,0.76
2196,140ms,130ms,0.5%,0.777
2197,140ms,130ms,1.0%,0.676
2198,140ms,130ms,1.5%,0.913
2199,140ms,130ms,2.0%,0.724
2200,140ms,130ms,2.5%,0.871
2201,140ms,130ms,3.0%,0.687
2202,140ms,140ms,0.0%,0.681
2203,140ms,140ms,0.5%,0.707
2204,140ms,140ms,1.0%,0.716
2205,140ms,140ms,1.5%,0.738
2206,140ms,140ms,2.0%,0.802
2207,140ms,140ms,2.5%,0.693
2208,140ms,150ms,0.0%,0.726
2209,140ms,150ms,0.5%,0.657
2210,140ms,150ms,1.0%,0.678
2211,140ms,150ms,1.5%,0.675
2212,140ms,150ms,2.0%,0.762
2213,140ms,150ms,2.5%,0.791
2214,140ms,150ms,3.0%,0.714
2215,140ms,160ms,0.0%,0.675
2216,140ms,160ms,0.5%,0.676
2217,140ms,160ms,1.0%,0.607
2218,140ms,160ms,1.5%,0.765
2219,140ms,160ms,2.0%,0.722
2220,140ms,160ms,2.5%,0.697
2221,140ms,160ms,3.0%,0.673
2222,140ms,170ms,0.0%,0.69
2223,140ms,170ms,0.5%,0.677
2224,140ms,170ms,1.0%,0.727
2225,140ms,170ms,1.5%,0.668
2226,140ms,170ms,2.0%,0.7
2227,140ms,170ms,2.5%,0.748
2228,140ms,170ms,3.0%,0.771
2229,140ms,180ms,0.0%,0.681
2230,140ms,180ms,0.5%,0.67
2231,140ms,180ms,1.0%,0.683
2232,140ms,180ms,1.5%,0.723
2233,140ms,180ms,2.0%,0.895
2234,140ms,180ms,2.5%,0.867
2235,140ms,180ms,3.0%,0.622
2236,140ms,190ms,0.0%,0.703
2237,140ms,190ms,0.5%,0.679
2238,140ms,190ms,1.0%,0.675
2239,140ms,190ms,1.5%,0.69
2240,140ms,190ms,2.0%,0.675
2241,140ms,190ms,2.5%,0.688
2242,140ms,190ms,3.0%,0.692
2243,140ms,200ms,0.0%,0.682
2244,140ms,200ms,0.5%,0.705
2245,140ms,200ms,1.0%,0.648
2246,140ms,200ms,1.5%,0.66
2247,140ms,200ms,2.0%,0.752
2248,140ms,200ms,2.5%,0.679
2249,140ms,200ms,3.0%,0.701
2250,150ms,0ms,0.0%,0.945
2251,150ms,0ms,0.5%,0.937
2252,150ms,0ms,1.0%,0.974
2253,150ms,0ms,1.5%,0.994
2254,150ms,0ms,2.0%,0.999
2255,150ms,0ms,2.5%,0.837
2256,150ms,0ms,3.0%,0.967
2257,150ms,10ms,0.0%,0.937
2258,150ms,10ms,0.5%,0.943
2259,150ms,10ms,1.0%,0.938
2260,150ms,10ms,1.5%,0.864
2261,150ms,10ms,2.0%,0.915
2262,150ms,10ms,2.5%,0.895
2263,150ms,10ms,3.0%,0.936
2264,150ms,20ms,0.0%,0.937
2265,150ms,20ms,0.5%,0.937
2266,150ms,20ms,1.0%,0.936
2267,150ms,20ms,1.5%,0.992
2268,150ms,20ms,2.0%,0.945
2269,150ms,20ms,2.5%,0.931
2270,150ms,20ms,3.0%,0.885
2271,150ms,30ms,0.0%,0.937
2272,150ms,30ms,0.5%,0.936
2273,150ms,30ms,1.0%,0.936
2274,150ms,30ms,1.5%,0.944
2275,150ms,30ms,2.0%,0.831
2276,150ms,30ms,2.5%,0.891
2277,150ms,30ms,3.0%,0.945
2278,150ms,40ms,0.0%,0.952
2279,150ms,40ms,0.5%,0.937
2280,150ms,40ms,1.0%,0.987
2281,150ms,40ms,1.5%,0.94
2282,150ms,40ms,2.0%,0.934
2283,150ms,40ms,2.5%,0.898
2284,150ms,40ms,3.0%,0.902
2285,150ms,50ms,0.0%,0.937
2286,150ms,50ms,0.5%,0.935
2287,150ms,50ms,1.0%,0.935
2288,150ms,50ms,1.5%,0.774
2289,150ms,50ms,2.0%,0.933
2290,150ms,50ms,2.5%,0.931
2291,150ms,50ms,3.0%,0.852
2292,150ms,60ms,0.0%,0.908
2293,150ms,60ms,0.5%,0.936
2294,150ms,60ms,1.0%,0.892
2295,150ms,60ms,1.5%,0.946
2296,150ms,60ms,2.0%,0.937
2297,150ms,60ms,2.5%,0.965
2298,150ms,60ms,3.0%,0.865
2299,150ms,70ms,0.0%,0.932
2300,150ms,70ms,0.5%,0.994
2301,150ms,70ms,1.0%,0.727
2302,150ms,70ms,1.5%,0.833
2303,150ms,70ms,2.0%,0.932
2304,150ms,70ms,2.5%,0.934
2305,150ms,70ms,3.0%,0.92
2306,150ms,80ms,0.0%,0.924
2307,150ms,80ms,0.5%,0.911
2308,150ms,80ms,1.0%,0.852
2309,150ms,80ms,1.5%,0.926
2310,150ms,80ms,2.0%,0.783
2311,150ms,80ms,2.5%,0.827
2312,150ms,80ms,3.0%,0.93
2313,150ms,90ms,0.0%,0.896
2314,150ms,90ms,0.5%,0.891
2315,150ms,90ms,1.0%,0.75
2316,150ms,90ms,1.5%,0.858
2317,150ms,90ms,2.0%,0.94
2318,150ms,90ms,2.5%,0.903
2319,150ms,90ms,3.0%,0.823
2320,150ms,100ms,0.0%,0.71
2321,150ms,100ms,0.5%,0.933
2322,150ms,100ms,1.0%,0.856
2323,150ms,100ms,1.5%,0.707
2324,150ms,100ms,2.0%,0.795
2325,150ms,100ms,2.5%,0.732
2326,150ms,100ms,3.0%,0.824
2327,150ms,110ms,0.0%,0.806
2328,150ms,110ms,0.5%,0.71
2329,150ms,110ms,1.0%,0.91
2330,150ms,110ms,1.5%,0.793
2331,150ms,110ms,2.0%,0.804
2332,150ms,110ms,2.5%,0.684
2333,150ms,110ms,3.0%,0.711
2334,150ms,120ms,0.0%,0.693
2335,150ms,120ms,0.5%,0.923
2336,150ms,120ms,1.0%,0.749
2337,150ms,120ms,1.5%,0.694
2338,150ms,120ms,2.0%,0.9
2339,150ms,120ms,2.5%,0.716
2340,150ms,120ms,3.0%,0.68
2341,150ms,130ms,0.0%,0.698
2342,150ms,130ms,0.5%,0.786
2343,150ms,130ms,1.0%,0.692
2344,150ms,130ms,1.5%,0.694
2345,150ms,130ms,2.0%,0.692
2346,150ms,130ms,2.5%,0.666
2347,150ms,130ms,3.0%,0.693
2348,150ms,140ms,0.0%,0.695
2349,150ms,140ms,0.5%,0.681
2350,150ms,140ms,1.0%,0.68
2351,150ms,140ms,1.5%,0.814
2352,150ms,140ms,2.0%,0.67
2353,150ms,140ms,2.5%,0.755
2354,150ms,140ms,3.0%,0.688
2355,150ms,150ms,0.0%,0.871
2356,150ms,150ms,0.5%,0.689
2357,150ms,150ms,1.0%,0.712
2358,150ms,150ms,1.5%,0.87
2359,150ms,150ms,2.0%,0.664
2360,150ms,150ms,2.5%,0.69
2361,150ms,150ms,3.0%,0.623
2362,150ms,160ms,0.0%,0.769
2363,150ms,160ms,0.5%,0.691
2364,150ms,160ms,1.0%,0.686
2365,150ms,160ms,1.5%,0.67
2366,150ms,160ms,2.0%,0.679
2367,150ms,160ms,2.5%,0.84
2368,150ms,160ms,3.0%,0.792
2369,150ms,170ms,0.0%,0.7
2370,150ms,170ms,0.5%,0.678
2371,150ms,170ms,1.0%,0.716
2372,150ms,170ms,1.5%,0.678
2373,150ms,170ms,2.0%,0.706
2374,150ms,170ms,2.5%,0.678
2375,150ms,170ms,3.0%,0.684
2376,150ms,180ms,0.0%,0.689
2377,150ms,180ms,0.5%,0.692
2378,150ms,180ms,1.0%,0.673
2379,150ms,180ms,1.5%,0.762
2380,150ms,180ms,2.0%,0.688
2381,150ms,180ms,2.5%,0.708
2382,150ms,180ms,3.0%,0.67
2383,150ms,190ms,0.0%,0.682
2384,150ms,190ms,0.5%,0.719
2385,150ms,190ms,1.0%,0.651
2386,150ms,190ms,1.5%,0.718
2387,150ms,190ms,2.0%,0.754
2388,150ms,190ms,2.5%,0.731
2389,150ms,190ms,3.0%,0.701
2390,150ms,200ms,0.0%,0.707
2391,150ms,200ms,0.5%,0.681
2392,150ms,200ms,1.0%,0.744
2393,150ms,200ms,1.5%,0.838
2394,150ms,200ms,2.0%,0.677
2395,150ms,200ms,2.5%,0.783
2396,150ms,200ms,3.0%,0.678
2397,160ms,0ms,0.0%,0.997
2398,160ms,0ms,0.5%,0.937
2399,160ms,0ms,1.0%,0.94
2400,160ms,0ms,1.5%,0.954
2401,160ms,0ms,2.0%,0.839
2402,160ms,0ms,2.5%,0.96
2403,160ms,0ms,3.0%,0.965
2404,160ms,10ms,0.0%,0.937
2405,160ms,10ms,0.5%,0.97
2406,160ms,10ms,1.0%,0.943
2407,160ms,10ms,1.5%,0.883
2408,160ms,10ms,2.0%,0.94
2409,160ms,10ms,2.5%,0.86
2410,160ms,10ms,3.0%,0.934
2411,160ms,20ms,0.0%,0.937
2412,160ms,20ms,0.5%,0.952
2413,160ms,20ms,1.0%,0.936
2414,160ms,20ms,1.5%,0.891
2415,160ms,20ms,2.0%,0.89
2416,160ms,20ms,2.5%,0.911
2417,160ms,20ms,3.0%,0.962
2418,160ms,30ms,0.0%,0.947
2419,160ms,30ms,0.5%,0.948
2420,160ms,30ms,1.0%,0.936
2421,160ms,30ms,1.5%,0.942
2422,160ms,30ms,2.0%,0.936
2423,160ms,30ms,2.5%,0.792
2424,160ms,30ms,3.0%,0.935
2425,160ms,40ms,0.0%,0.937
2426,160ms,40ms,0.5%,0.951
2427,160ms,40ms,1.0%,0.936
2428,160ms,40ms,1.5%,0.936
2429,160ms,40ms,2.0%,0.826
2430,160ms,40ms,2.5%,0.855
2431,160ms,40ms,3.0%,0.933
2432,160ms,50ms,0.0%,0.937
2433,160ms,50ms,0.5%,0.946
2434,160ms,50ms,1.0%,0.936
2435,160ms,50ms,1.5%,0.931
2436,160ms,50ms,2.0%,0.944
2437,160ms,50ms,2.5%,0.934
2438,160ms,50ms,3.0%,0.928
2439,160ms,60ms,0.0%,0.927
2440,160ms,60ms,0.5%,0.999
2441,160ms,60ms,1.0%,0.944
2442,160ms,60ms,1.5%,0.935
2443,160ms,60ms,2.0%,0.924
2444,160ms,60ms,2.5%,0.746
2445,160ms,60ms,3.0%,0.935
2446,160ms,70ms,0.0%,0.707
2447,160ms,70ms,0.5%,0.849
2448,160ms,70ms,1.0%,0.936
2449,160ms,70ms,1.5%,0.92
2450,160ms,70ms,2.0%,0.945
2451,160ms,70ms,2.5%,0.936
2452,160ms,70ms,3.0%,0.862
2453,160ms,80ms,0.0%,0.87
2454,160ms,80ms,0.5%,0.829
2455,160ms,80ms,1.0%,0.844
2456,160ms,80ms,1.5%,0.932
2457,160ms,80ms,2.0%,0.876
2458,160ms,80ms,2.5%,0.844
2459,160ms,80ms,3.0%,0.681
2460,160ms,90ms,0.0%,0.786
2461,160ms,90ms,0.5%,0.719
2462,160ms,90ms,1.0%,0.926
2463,160ms,90ms,1.5%,0.723
2464,160ms,90ms,2.0%,0.923
2465,160ms,90ms,2.5%,0.851
2466,160ms,90ms,3.0%,0.775
2467,160ms,100ms,0.0%,0.706
2468,160ms,100ms,0.5%,0.736
2469,160ms,100ms,1.0%,0.859
2470,160ms,100ms,1.5%,0.858
2471,160ms,100ms,2.0%,0.865
2472,160ms,100ms,2.5%,0.928
2473,160ms,100ms,3.0%,0.677
2474,160ms,110ms,0.0%,0.734
2475,160ms,110ms,0.5%,0.764
2476,160ms,110ms,1.0%,0.858
2477,160ms,110ms,1.5%,0.794
2478,160ms,110ms,2.0%,0.793
2479,160ms,110ms,2.5%,0.677
2480,160ms,110ms,3.0%,0.848
2481,160ms,120ms,0.0%,0.879
2482,160ms,120ms,0.5%,0.701
2483,160ms,120ms,1.0%,0.786
2484,160ms,120ms,1.5%,0.696
2485,160ms,120ms,2.0%,0.787
2486,160ms,120ms,2.5%,0.82
2487,160ms,120ms,3.0%,0.846
2488,160ms,130ms,0.0%,0.697
2489,160ms,130ms,0.5%,0.678
2490,160ms,130ms,1.0%,0.737
2491,160ms,130ms,1.5%,0.873
2492,160ms,130ms,2.0%,0.694
2493,160ms,130ms,2.5%,0.691
2494,160ms,130ms,3.0%,0.721
2495,160ms,140ms,0.0%,0.726
2496,160ms,140ms,1.0%,0.696
2497,160ms,140ms,1.5%,0.725
2498,160ms,140ms,2.0%,0.82
2499,160ms,140ms,2.5%,0.741
2500,160ms,140ms,3.0%,0.717
2501,160ms,150ms,0.0%,0.85
2502,160ms,150ms,0.5%,0.699
2503,160ms,150ms,1.0%,0.807
2504,160ms,150ms,1.5%,0.686
2505,160ms,150ms,2.0%,0.893
2506,160ms,150ms,2.5%,0.691
2507,160ms,150ms,3.0%,0.678
2508,160ms,160ms,0.0%,0.675
2509,160ms,160ms,0.5%,0.785
2510,160ms,160ms,1.0%,0.928
2511,160ms,160ms,1.5%,0.68
2512,160ms,160ms,2.0%,0.685
2513,160ms,160ms,2.5%,0.691
2514,160ms,160ms,3.0%,0.688
2515,160ms,170ms,0.0%,0.692
2516,160ms,170ms,0.5%,0.691
2517,160ms,170ms,1.0%,0.862
2518,160ms,170ms,1.5%,0.837
2519,160ms,170ms,2.0%,0.88
2520,160ms,170ms,2.5%,0.68
2521,170ms,0ms,0.0%,0.997
2522,170ms,0ms,0.5%,0.999
2523,170ms,0ms,1.0%,0.953
2524,170ms,0ms,1.5%,0.954
2525,170ms,0ms,2.0%,0.935
2526,170ms,0ms,2.5%,0.996
2527,170ms,0ms,3.0%,0.86
2528,170ms,10ms,0.0%,0.944
2529,170ms,10ms,0.5%,0.933
2530,170ms,10ms,1.0%,0.934
2531,170ms,10ms,1.5%,0.945
2532,170ms,10ms,2.0%,0.926
2533,170ms,10ms,2.5%,0.852
2534,170ms,10ms,3.0%,0.934
2535,170ms,20ms,0.0%,0.944
2536,170ms,20ms,0.5%,0.945
2537,170ms,20ms,1.0%,0.936
2538,170ms,20ms,1.5%,0.937
2539,170ms,20ms,2.0%,0.936
2540,170ms,20ms,2.5%,0.852
2541,170ms,20ms,3.0%,0.966
2542,170ms,30ms,0.0%,0.997
2543,170ms,30ms,0.5%,0.949
2544,170ms,30ms,1.0%,0.958
2545,170ms,30ms,1.5%,0.729
2546,170ms,30ms,2.0%,0.93
2547,170ms,30ms,2.5%,0.88
2548,170ms,30ms,3.0%,0.936
2549,170ms,40ms,0.0%,0.939
2550,170ms,40ms,0.5%,0.937
2551,170ms,40ms,1.0%,0.94
2552,170ms,40ms,1.5%,0.933
2553,170ms,40ms,2.0%,0.902
2554,170ms,40ms,2.5%,0.911
2555,170ms,40ms,3.0%,0.868
2556,170ms,50ms,0.0%,0.948
2557,170ms,50ms,0.5%,0.945
2558,170ms,50ms,1.0%,0.944
2559,170ms,50ms,1.5%,0.936
2560,170ms,50ms,2.0%,0.938
2561,170ms,50ms,2.5%,0.948
2562,170ms,50ms,3.0%,0.918
2563,170ms,60ms,0.0%,0.981
2564,170ms,60ms,0.5%,0.937
2565,170ms,60ms,1.0%,0.933
2566,170ms,60ms,1.5%,0.88
2567,170ms,60ms,2.0%,0.853
2568,170ms,60ms,2.5%,0.747
2569,170ms,60ms,3.0%,0.89
2570,170ms,70ms,0.0%,0.941
2571,170ms,70ms,0.5%,0.929
2572,170ms,70ms,1.0%,0.927
2573,170ms,70ms,1.5%,0.931
2574,170ms,70ms,2.0%,0.861
2575,170ms,70ms,2.5%,0.856
2576,170ms,70ms,3.0%,0.925
2577,170ms,80ms,0.0%,0.889
2578,170ms,80ms,0.5%,0.687
2579,170ms,80ms,1.0%,0.991
2580,170ms,80ms,1.5%,0.755
2581,170ms,80ms,2.0%,0.915
2582,170ms,80ms,2.5%,0.82
2583,170ms,80ms,3.0%,0.86
2584,170ms,90ms,0.0%,0.851
2585,170ms,90ms,0.5%,0.862
2586,170ms,90ms,1.0%,0.947
2587,170ms,90ms,1.5%,0.934
2588,170ms,90ms,2.0%,0.741
2589,170ms,90ms,2.5%,0.689
2590,170ms,90ms,3.0%,0.751
2591,170ms,100ms,0.0%,0.739
2592,170ms,100ms,0.5%,0.683
2593,170ms,100ms,1.0%,0.861
2594,170ms,100ms,1.5%,0.751
2595,170ms,100ms,2.0%,0.732
2596,170ms,100ms,2.5%,0.654
2597,170ms,100ms,3.0%,0.931
2598,170ms,110ms,0.0%,0.918
2599,170ms,110ms,0.5%,0.685
2600,170ms,110ms,1.0%,0.981
2601,170ms,110ms,1.5%,0.843
2602,170ms,110ms,2.0%,0.714
2603,170ms,110ms,2.5%,0.803
2604,170ms,110ms,3.0%,0.764
2605,170ms,120ms,0.0%,0.927
2606,170ms,120ms,0.5%,0.693
2607,170ms,120ms,1.0%,0.902
2608,170ms,120ms,1.5%,0.691
2609,170ms,120ms,2.0%,0.901
2610,170ms,120ms,2.5%,0.779
2611,170ms,120ms,3.0%,0.679
2612,170ms,130ms,0.0%,0.898
2613,170ms,130ms,0.5%,0.817
2614,170ms,130ms,1.0%,0.675
2615,170ms,130ms,1.5%,0.781
2616,170ms,130ms,2.0%,0.68
2617,170ms,130ms,2.5%,0.78
2618,170ms,140ms,0.0%,0.77
2619,170ms,140ms,0.5%,0.712
2620,170ms,140ms,1.0%,0.72
2621,170ms,140ms,1.5%,0.679
2622,170ms,140ms,2.0%,0.674
2623,170ms,140ms,2.5%,0.789
2624,170ms,140ms,3.0%,0.716
2625,170ms,150ms,0.0%,0.722
2626,170ms,150ms,0.5%,0.878
2627,170ms,150ms,1.0%,0.662
2628,170ms,150ms,1.5%,0.717
2629,170ms,150ms,2.0%,0.691
2630,170ms,150ms,2.5%,0.708
2631,170ms,150ms,3.0%,0.683
2632,170ms,160ms,0.0%,0.747
2633,170ms,160ms,0.5%,0.681
2634,170ms,160ms,1.0%,0.753
2635,170ms,160ms,1.5%,0.838
2636,170ms,160ms,2.0%,0.865
2637,170ms,160ms,2.5%,0.916
2638,170ms,160ms,3.0%,0.676
2639,170ms,170ms,0.0%,0.669
2640,170ms,170ms,0.5%,0.743
2641,170ms,170ms,1.0%,0.678
2642,170ms,170ms,1.5%,0.747
2643,170ms,170ms,2.0%,0.574
2644,170ms,170ms,2.5%,0.678
2645,170ms,170ms,3.0%,0.736
2646,170ms,180ms,0.0%,0.691
2647,170ms,180ms,1.0%,0.68
2648,170ms,180ms,1.5%,0.681
2649,170ms,180ms,2.5%,0.692
2650,170ms,180ms,3.0%,0.686
2651,170ms,190ms,0.0%,0.708
2652,170ms,190ms,0.5%,0.651
2653,170ms,190ms,1.0%,0.696
2654,170ms,190ms,1.5%,0.673
2655,170ms,190ms,2.0%,0.682
2656,170ms,190ms,2.5%,0.68
2657,170ms,190ms,3.0%,0.685
2658,170ms,200ms,0.0%,0.709
2659,170ms,200ms,0.5%,0.671
2660,170ms,200ms,1.0%,0.68
2661,170ms,200ms,1.5%,0.721
2662,170ms,200ms,2.0%,0.704
2663,170ms,200ms,2.5%,0.681
2664,170ms,200ms,3.0%,0.655
2665,180ms,0ms,0.0%,0.969
2666,180ms,0ms,0.5%,0.966
2667,180ms,0ms,1.0%,0.95
2668,180ms,0ms,1.5%,0.884
2669,180ms,0ms,2.0%,0.869
2670,180ms,0ms,2.5%,0.989
2671,180ms,0ms,3.0%,0.977
2672,180ms,10ms,0.0%,0.937
2673,180ms,10ms,0.5%,0.936
2674,180ms,10ms,1.0%,0.89
2675,180ms,10ms,1.5%,0.875
2676,180ms,10ms,2.0%,0.944
2677,180ms,10ms,2.5%,0.933
2678,180ms,10ms,3.0%,0.884
2679,180ms,20ms,0.0%,0.937
2680,180ms,20ms,0.5%,0.972
2681,180ms,20ms,1.0%,0.943
2682,180ms,20ms,1.5%,0.941
2683,180ms,20ms,2.0%,0.872
2684,180ms,20ms,2.5%,0.935
2685,180ms,20ms,3.0%,0.941
2686,180ms,30ms,0.0%,0.997
2687,180ms,30ms,0.5%,0.936
2688,180ms,30ms,1.0%,0.938
2689,180ms,30ms,1.5%,0.936
2690,180ms,30ms,2.0%,0.944
2691,180ms,30ms,2.5%,0.931
2692,180ms,30ms,3.0%,0.945
2693,180ms,40ms,0.0%,0.997
2694,180ms,40ms,0.5%,0.936
2695,180ms,40ms,1.0%,0.936
2696,180ms,40ms,1.5%,0.944
2697,180ms,40ms,2.0%,0.945
2698,180ms,40ms,2.5%,0.943
2699,180ms,40ms,3.0%,0.738
2700,180ms,50ms,0.0%,0.945
2701,180ms,50ms,0.5%,0.866
2702,180ms,50ms,1.0%,0.937
2703,180ms,50ms,1.5%,0.933
2704,180ms,50ms,2.0%,0.855
2705,180ms,50ms,2.5%,0.886
2706,180ms,50ms,3.0%,0.771
2707,180ms,60ms,0.0%,0.951
2708,180ms,60ms,0.5%,0.937
2709,180ms,60ms,1.0%,0.947
2710,180ms,60ms,1.5%,0.865
2711,180ms,0ms,0.0%,0.969
2712,180ms,0ms,0.5%,0.937
2713,180ms,0ms,1.0%,0.937
2714,180ms,0ms,1.5%,0.936
2715,180ms,0ms,2.0%,0.814
2716,180ms,0ms,2.5%,0.944
2717,180ms,0ms,3.0%,0.831
2718,180ms,10ms,0.0%,0.944
2719,180ms,10ms,0.5%,0.947
2720,180ms,10ms,1.0%,0.936
2721,180ms,10ms,1.5%,0.931
2722,180ms,10ms,2.0%,0.929
2723,180ms,10ms,2.5%,0.927
2724,180ms,10ms,3.0%,0.898
2725,180ms,20ms,0.0%,0.944
2726,180ms,20ms,0.5%,0.937
2727,180ms,20ms,1.0%,0.934
2728,180ms,20ms,1.5%,0.935
2729,180ms,20ms,2.0%,0.855
2730,180ms,20ms,2.5%,0.879
2731,180ms,20ms,3.0%,0.934
2732,180ms,30ms,0.0%,0.947
2733,180ms,30ms,0.5%,0.935
2734,180ms,30ms,1.0%,0.904
2735,180ms,30ms,1.5%,0.881
2736,180ms,30ms,2.0%,0.935
2737,180ms,30ms,2.5%,0.936
2738,180ms,30ms,3.0%,0.932
2739,180ms,40ms,0.0%,0.952
2740,180ms,40ms,0.5%,0.936
2741,180ms,40ms,1.0%,0.934
2742,180ms,40ms,1.5%,0.936
2743,180ms,40ms,2.0%,0.944
2744,180ms,40ms,2.5%,0.949
2745,180ms,40ms,3.0%,0.931
2746,180ms,50ms,0.0%,0.946
2747,180ms,50ms,0.5%,0.944
2748,180ms,50ms,1.0%,0.948
2749,180ms,50ms,1.5%,0.945
2750,180ms,50ms,2.0%,0.904
2751,180ms,50ms,2.5%,0.717
2752,180ms,50ms,3.0%,0.937
2753,180ms,60ms,0.0%,0.943
2754,180ms,60ms,0.5%,0.947
2755,180ms,60ms,1.0%,0.822
2756,180ms,60ms,1.5%,0.859
2757,180ms,60ms,2.0%,0.891
2758,180ms,60ms,2.5%,0.855
2759,180ms,60ms,3.0%,0.912
2760,180ms,70ms,0.0%,0.934
2761,180ms,70ms,0.5%,0.867
2762,180ms,70ms,1.0%,0.938
2763,180ms,70ms,1.5%,0.936
2764,180ms,70ms,2.0%,0.736
2765,180ms,70ms,2.5%,0.883
2766,180ms,70ms,3.0%,0.89
2767,180ms,80ms,0.0%,0.781
2768,180ms,80ms,0.5%,0.801
2769,180ms,80ms,1.0%,0.885
2770,180ms,80ms,1.5%,0.884
2771,180ms,80ms,2.0%,0.933
2772,180ms,80ms,2.5%,0.935
2773,180ms,80ms,3.0%,0.688
2774,180ms,90ms,0.0%,0.872
2775,180ms,90ms,0.5%,0.947
2776,180ms,90ms,1.0%,0.939
2777,180ms,90ms,1.5%,0.722
2778,180ms,90ms,2.0%,0.908
2779,180ms,90ms,2.5%,0.886
2780,180ms,90ms,3.0%,0.857
2781,180ms,100ms,0.0%,0.772
2782,180ms,100ms,0.5%,0.814
2783,180ms,100ms,1.0%,0.725
2784,180ms,100ms,1.5%,0.802
2785,180ms,100ms,2.0%,0.689
2786,180ms,100ms,2.5%,0.904
2787,180ms,100ms,3.0%,0.698
2788,180ms,110ms,0.0%,0.736
2789,180ms,110ms,0.5%,0.684
2790,180ms,110ms,1.0%,0.774
2791,180ms,110ms,1.5%,0.729
2792,180ms,110ms,2.0%,0.935
2793,180ms,110ms,2.5%,0.734
2794,180ms,110ms,3.0%,0.884
2795,180ms,120ms,0.0%,0.793
2796,180ms,120ms,0.5%,0.659
2797,180ms,120ms,1.0%,0.683
2798,180ms,120ms,1.5%,0.928
2799,180ms,120ms,2.0%,0.803
2800,180ms,120ms,2.5%,0.726
2801,180ms,120ms,3.0%,0.731
2802,180ms,130ms,0.0%,0.696
2803,180ms,130ms,0.5%,0.902
2804,180ms,130ms,1.0%,0.91
2805,180ms,130ms,1.5%,0.69
2806,180ms,130ms,2.0%,0.681
2807,180ms,130ms,2.5%,0.686
2808,180ms,130ms,3.0%,0.679
2809,180ms,140ms,0.0%,0.684
2810,180ms,140ms,0.5%,0.844
2811,180ms,140ms,1.0%,0.717
2812,180ms,140ms,1.5%,0.669
2813,180ms,140ms,2.0%,0.891
2814,180ms,140ms,2.5%,0.691
2815,180ms,140ms,3.0%,0.851
2816,180ms,150ms,0.0%,0.667
2817,180ms,150ms,0.5%,0.682
2818,180ms,150ms,1.0%,0.675
2819,180ms,150ms,1.5%,0.689
2820,180ms,150ms,2.0%,0.749
2821,180ms,150ms,2.5%,0.751
2822,180ms,150ms,3.0%,0.691
2823,180ms,160ms,0.0%,0.79
2824,180ms,160ms,0.5%,0.73
2825,180ms,160ms,1.0%,0.686
2826,180ms,160ms,1.5%,0.681
2827,180ms,160ms,2.0%,0.683
2828,180ms,160ms,2.5%,0.677
2829,180ms,160ms,3.0%,0.693
2830,180ms,170ms,0.0%,0.685
2831,180ms,170ms,0.5%,0.667
2832,180ms,170ms,1.0%,0.792
2833,180ms,170ms,1.5%,0.664
2834,180ms,170ms,2.0%,0.739
2835,180ms,170ms,2.5%,0.722
2836,180ms,170ms,3.0%,0.763
2837,180ms,180ms,0.0%,0.678
2838,180ms,180ms,0.5%,0.666
2839,180ms,180ms,1.0%,0.691
2840,180ms,180ms,1.5%,0.692
2841,180ms,180ms,2.0%,0.935
