index,delay,jitter,loss,ssim
398,20ms,120ms,0.0%,0.804
399,20ms,120ms,0.5%,0.854
400,20ms,120ms,1.0%,0.731
401,20ms,120ms,1.5%,0.75
402,20ms,120ms,2.0%,0.886
403,20ms,120ms,2.5%,0.712
404,20ms,120ms,3.0%,0.983
405,20ms,130ms,0.0%,0.723
406,20ms,130ms,0.5%,0.796
407,20ms,130ms,1.0%,0.748
408,20ms,130ms,1.5%,0.939
409,20ms,130ms,2.0%,0.781
410,20ms,130ms,2.5%,0.764
411,20ms,130ms,3.0%,0.713
412,20ms,140ms,0.0%,0.759
413,20ms,140ms,0.5%,0.773
414,20ms,140ms,1.0%,0.916
415,20ms,140ms,1.5%,0.772
416,20ms,140ms,2.0%,0.736
417,20ms,140ms,2.5%,0.909
418,20ms,140ms,3.0%,0.871
419,20ms,150ms,0.0%,0.679
420,20ms,150ms,0.5%,0.717
421,20ms,150ms,1.0%,0.916
422,20ms,150ms,1.5%,0.673
423,20ms,150ms,2.0%,0.882
424,20ms,150ms,2.5%,0.803
425,20ms,150ms,3.0%,0.888
426,20ms,160ms,0.0%,0.705
427,20ms,160ms,0.5%,0.934
428,20ms,160ms,1.0%,0.69
429,20ms,160ms,1.5%,0.776
430,20ms,160ms,2.0%,0.698
431,20ms,160ms,2.5%,0.796
432,20ms,160ms,3.0%,0.94
433,20ms,170ms,0.0%,0.869
434,20ms,170ms,0.5%,0.788
435,20ms,170ms,1.0%,0.69
436,20ms,170ms,1.5%,0.692
437,20ms,170ms,2.0%,0.771
438,20ms,170ms,2.5%,0.893
439,20ms,170ms,3.0%,0.845
440,20ms,180ms,0.0%,0.77
441,20ms,180ms,0.5%,0.765
442,20ms,180ms,1.0%,0.714
443,20ms,180ms,1.5%,0.678
444,20ms,180ms,2.0%,0.669
445,20ms,180ms,2.5%,0.855
446,20ms,180ms,3.0%,0.803
447,20ms,190ms,0.0%,0.799
448,20ms,190ms,0.5%,0.768
449,20ms,190ms,1.0%,0.769
450,20ms,190ms,1.5%,0.697
451,20ms,190ms,2.0%,0.932
452,20ms,190ms,2.5%,0.897
453,20ms,190ms,3.0%,0.676
454,20ms,200ms,0.0%,0.695
455,20ms,200ms,0.5%,0.864
456,20ms,200ms,1.0%,0.742
457,20ms,200ms,1.5%,0.758
458,20ms,200ms,2.0%,0.897
459,20ms,200ms,2.5%,0.706
460,20ms,200ms,3.0%,0.937
461,30ms,0ms,0.0%,0.937
462,30ms,0ms,0.5%,0.937
463,30ms,0ms,1.0%,0.909
464,30ms,0ms,1.5%,0.936
465,30ms,0ms,2.0%,0.997
466,30ms,0ms,2.5%,0.808
467,30ms,0ms,3.0%,0.822
468,30ms,10ms,0.0%,0.97
469,30ms,10ms,0.5%,0.919
470,30ms,10ms,1.0%,0.998
471,30ms,10ms,1.5%,0.943
472,30ms,10ms,2.0%,0.913
473,30ms,10ms,2.5%,0.857
474,30ms,10ms,3.0%,0.929
475,30ms,20ms,0.0%,0.948
476,30ms,20ms,0.5%,0.943
477,30ms,20ms,1.0%,0.944
478,30ms,20ms,1.5%,0.935
479,30ms,20ms,2.0%,0.947
480,30ms,20ms,2.5%,0.707
481,30ms,20ms,3.0%,0.857
482,30ms,30ms,0.0%,0.949
483,30ms,30ms,0.5%,0.919
484,30ms,30ms,1.0%,0.933
485,30ms,30ms,1.5%,0.934
486,30ms,30ms,2.0%,0.894
487,30ms,30ms,2.5%,0.934
488,30ms,30ms,3.0%,0.853
489,30ms,40ms,0.0%,0.946
